t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,7,1e+06,1500,10,2e+08,non-persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,14920,14882,0.997453,2.2323e+07,22323,139999,0.106301,14901,0.106436,0.998725,14939,0.998728,0.996184,1.00255,417,0.0279135,0.0279847,0.299191,0.000717485,0,0,38,0.00254368,0.00255016,0.0128,0.000336842,0,0,
40,18281,18209,0.996061,2.73135e+07,27313.5,280075,0.0650147,18248,0.065154,0.997863,18320,0.997871,0.993941,1.00395,748,0.0408297,0.0409908,0.578735,0.00077371,0,0,72,0.00393013,0.00394564,0.017408,0.000241778,0,0,
60,22434,22318,0.994829,3.3477e+07,33477,421263,0.0529788,22376,0.0531165,0.997408,22492,0.997421,0.992264,1.00518,1116,0.0496176,0.0498749,0.805453,0.000721732,0,0,116,0.00515739,0.00518413,0.046592,0.000401655,0,0,
80,19110,18955,0.991889,2.84325e+07,28432.5,559610,0.0338718,19033,0.0340112,0.995902,19188,0.995935,0.987857,1.00814,880,0.045862,0.0462355,0.634131,0.000720603,0,0,155,0.00807797,0.00814375,0.060928,0.000393084,0,0,
100,18990,18825,0.991311,2.82375e+07,28237.5,700406,0.0268773,18923,0.0270172,0.994821,19088,0.994866,0.986222,1.00872,908,0.0475692,0.0479839,0.654271,0.000720563,0,0,165,0.00864417,0.00871955,0.05632,0.000341333,0,0,
