t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,10,1e+06,1500,10,2e+08,persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,15748,15708,0.99746,2.3562e+07,23562,200615,0.0782992,15727,0.0783939,0.998792,15767,0.998795,0.996258,1.00254,340,0.021564,0.0216189,0.254857,0.000749579,0,0,40,0.00253694,0.0025434,0.019968,0.0004992,0,0,
40,15180,15104,0.994993,2.2656e+07,22656,400287,0.0377329,15143,0.0378304,0.997425,15219,0.997437,0.992444,1.00502,511,0.0335765,0.033745,0.366878,0.00071796,0,0,76,0.00499376,0.00501882,0.0384,0.000505263,0,0,
60,17500,17401,0.994343,2.61015e+07,26101.5,599313,0.0290349,17460,0.0291334,0.996621,17559,0.99664,0.991002,1.00567,615,0.0350248,0.0352234,0.438991,0.000713807,0,0,99,0.00563813,0.0056701,0.030208,0.000305131,0,0,
80,22701,22550,0.993348,3.3825e+07,33825,801157,0.0281468,22628,0.0282442,0.996553,22779,0.996576,0.989947,1.00667,838,0.0367883,0.0370338,0.616713,0.000735935,0,0,151,0.00662891,0.00667315,0.057344,0.000379762,0,0,
100,12721,12549,0.986479,1.88235e+07,18823.5,1000466,0.0125432,12648,0.0126421,0.992173,12820,0.992278,0.978861,1.0136,490,0.0382215,0.0387413,0.311159,0.000635019,0,0,172,0.0134165,0.013599,0.065024,0.000378047,0,0,
