t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,20,1e+06,1500,10,2e+08,persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,23050,23021,0.998742,3.45315e+07,34531.5,400464,0.0574858,23040,0.0575333,0.999175,23069,0.999176,0.997919,1.00126,302,0.0130912,0.0131076,0.229564,0.000760146,0,0,29,0.0012571,0.00125868,0.008192,0.000282483,0,0,
40,22614,22546,0.996993,3.3819e+07,33819,799168,0.0282118,22585,0.0282606,0.998273,22653,0.998278,0.995277,1.00301,381,0.016819,0.0168696,0.28066,0.00073664,0,0,68,0.00300181,0.00301085,0.018944,0.000278588,0,0,
60,20898,20805,0.99555,3.12075e+07,31207.5,1200546,0.0173296,20865,0.0173796,0.997124,20957,0.997185,0.992747,1.00441,269,0.0128358,0.0128924,0.170196,0.000632701,0,0,92,0.00438994,0.0044093,0.045568,0.000495304,0,0,
80,20451,20332,0.994181,3.0498e+07,30498,1598456,0.0127198,20411,0.0127692,0.99613,20530,0.996152,0.990356,1.00583,283,0.0137847,0.0138651,0.169863,0.000600224,0,0,119,0.0057964,0.00583019,0.040448,0.000339899,0,0,
100,21355,21212,0.993304,3.1818e+07,31818,2000893,0.0106013,21311,0.0106507,0.995355,21454,0.995385,0.98872,1.00671,417,0.0194369,0.0195674,0.274704,0.000658762,0,0,143,0.00666542,0.00671015,0.041472,0.000290014,0,0,
