t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,20,1e+06,1500,10,2e+08,non-persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,21683,21646,0.998294,3.2469e+07,32469,399634,0.0541646,21665,0.0542121,0.999123,21702,0.999125,0.99742,1.00171,227,0.0104599,0.0104777,0.165053,0.000727104,0,0,37,0.00170491,0.00170782,0.0128,0.000345946,0,0,
40,23313,23245,0.997083,3.48675e+07,34867.5,800464,0.0290394,23284,0.0290881,0.998325,23352,0.99833,0.995418,1.00292,445,0.0190562,0.0191118,0.347724,0.000781403,0,0,68,0.00291196,0.00292046,0.02304,0.000338824,0,0,
60,38698,38599,0.997442,5.78985e+07,57898.5,1198835,0.0321971,38658,0.0322463,0.998474,38757,0.998478,0.995923,1.00256,1322,0.03411,0.0341973,0.986845,0.000746479,0,0,99,0.00255438,0.00256092,0.036352,0.000367192,0,0,
80,12100,11984,0.990413,1.7976e+07,17976,1600585,0.00748726,12064,0.00753724,0.993369,12180,0.993432,0.983908,1.00962,631,0.0518062,0.0523044,0.460793,0.000730258,0,0,116,0.00952381,0.00961538,0.03584,0.000308966,0,0,
100,21426,21277,0.993046,3.19155e+07,31915.5,1998692,0.0106455,21376,0.010695,0.995369,21525,0.995401,0.988479,1.00697,421,0.0195587,0.019695,0.273791,0.000650336,0,0,149,0.00692218,0.00697043,0.053248,0.000357369,0,0,
