t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,7,1e+06,1500,10,2e+08,persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,11580,11533,0.995941,1.72995e+07,17299.5,140158,0.0822857,11552,0.0824213,0.998355,11599,0.998362,0.99431,1.00407,375,0.0323304,0.0324619,0.261195,0.00069652,0,0,47,0.00405207,0.00406856,0.031744,0.000675404,0,0,
40,18766,18679,0.995364,2.80185e+07,28018.5,280503,0.0665911,18718,0.0667301,0.997916,18805,0.997926,0.9933,1.00465,800,0.0425419,0.0427396,0.59943,0.000749287,0,0,87,0.00462643,0.00464793,0.044544,0.000512,0,0,
60,23196,23071,0.994611,3.46065e+07,34606.5,420489,0.0548671,23129,0.055005,0.997492,23254,0.997506,0.99213,1.0054,1104,0.0474757,0.0477323,0.788442,0.000714169,0,0,125,0.00537542,0.00540447,0.060416,0.000483328,0,0,
80,21545,21419,0.994152,3.21285e+07,32128.5,561780,0.038127,21497,0.0382659,0.996372,21623,0.996393,0.990566,1.00586,1010,0.0467095,0.0469833,0.709332,0.000702309,0,0,126,0.00582713,0.00586128,0.03584,0.000284444,0,0,
100,24956,24787,0.993228,3.71805e+07,37180.5,700850,0.0353671,24885,0.0355069,0.996062,25054,0.996088,0.989343,1.00679,1235,0.0492935,0.0496283,0.913596,0.000739754,0,0,169,0.00674543,0.00679124,0.06656,0.000393846,0,0,
