t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,20,1e+06,1500,10,2e+08,persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,26142,26106,0.998623,3.9159e+07,39159,399469,0.0653518,26125,0.0653993,0.999273,26161,0.999274,0.997898,1.00138,536,0.0204885,0.0205167,0.406475,0.000758349,0,0,36,0.00137609,0.00137799,0.01024,0.000284444,0,0,
40,22596,22520,0.996637,3.378e+07,33780,799793,0.0281573,22559,0.028206,0.998271,22635,0.998277,0.994919,1.00337,377,0.0166556,0.0167117,0.27044,0.000717348,0,0,76,0.00335763,0.00336894,0.039936,0.000525474,0,0,
60,40685,40603,0.997985,6.09045e+07,60904.5,1199611,0.0338468,40661,0.0338952,0.998574,40743,0.998576,0.996564,1.00202,1396,0.0342636,0.0343327,1.13126,0.000810355,0,0,82,0.00201262,0.00201667,0.018944,0.000231024,0,0,
80,27744,27612,0.995242,4.1418e+07,41418,1599089,0.0172673,27691,0.0173167,0.997147,27823,0.997161,0.992416,1.00477,825,0.0296517,0.0297931,0.613115,0.000743169,0,0,132,0.00474428,0.00476689,0.052736,0.000399515,0,0,
100,41862,41689,0.995867,6.25335e+07,62533.5,2000537,0.0208389,41788,0.0208884,0.997631,41960,0.997664,0.993541,1.00412,1602,0.0381792,0.0383364,1.22793,0.000766496,0,0,172,0.00409914,0.00411601,0.077312,0.000449488,0,0,
