t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,10,1e+06,1500,10,2e+08,non-persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,14411,14371,0.997224,2.15565e+07,21556.5,199869,0.0719021,14390,0.0719972,0.99868,14430,0.998683,0.995911,1.00278,302,0.0209286,0.0209868,0.222286,0.000736045,0,0,40,0.002772,0.00277971,0.017408,0.0004352,0,0,
40,14010,13922,0.993719,2.0883e+07,20883,399803,0.0348221,13961,0.0349197,0.997207,14049,0.997224,0.99096,1.0063,478,0.0340238,0.0342382,0.361171,0.000755587,0,0,88,0.00626379,0.00630327,0.039424,0.000448,0,0,
60,13384,13259,0.99066,1.98885e+07,19888.5,600106,0.0220944,13318,0.0221927,0.99557,13443,0.995611,0.986313,1.00939,533,0.0396489,0.040021,0.389694,0.000731133,0,0,125,0.00929852,0.00938579,0.04352,0.00034816,0,0,
80,13579,13446,0.990205,2.0169e+07,20169,799553,0.0168169,13525,0.0169157,0.994159,13658,0.994216,0.984478,1.00983,580,0.042466,0.0428835,0.406976,0.000701683,0,0,133,0.00973788,0.00983364,0.047104,0.000354165,0,0,
100,13208,13062,0.988946,1.9593e+07,19593,1002661,0.0130273,13161,0.0131261,0.992478,13307,0.99256,0.981589,1.01109,565,0.0424589,0.0429299,0.411698,0.000728668,0,0,146,0.0109717,0.0110934,0.047616,0.000326137,0,0,
