t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,10,1e+06,1500,10,2e+08,non-persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,13836,13802,0.997543,2.0703e+07,20703,200240,0.0689273,13821,0.0690222,0.998625,13855,0.998629,0.996175,1.00246,350,0.0252616,0.0253238,0.235717,0.000673476,0,0,34,0.00245399,0.00246002,0.008192,0.000240941,0,0,
40,15717,15635,0.994783,2.34525e+07,23452.5,400515,0.0390372,15674,0.0391346,0.997512,15756,0.997525,0.99232,1.00523,531,0.0337014,0.0338778,0.40465,0.000762053,0,0,82,0.00520437,0.00523159,0.032256,0.000393366,0,0,
60,22001,21909,0.995818,3.28635e+07,32863.5,598451,0.0366095,21967,0.0367064,0.99736,22059,0.997371,0.9932,1.00419,711,0.0322317,0.0323667,0.527481,0.000741886,0,0,92,0.00417063,0.0041881,0.024576,0.00026713,0,0,
80,13585,13452,0.99021,2.0178e+07,20178,801790,0.0167775,13531,0.016876,0.994162,13664,0.994218,0.984485,1.00983,698,0.0510831,0.0515852,0.514856,0.000737617,0,0,133,0.00973361,0.00982928,0.04608,0.000346466,0,0,
100,18149,17977,0.990523,2.69655e+07,26965.5,999054,0.017994,18077,0.0180941,0.994468,18249,0.99452,0.985095,1.00951,919,0.0503589,0.0508381,0.680867,0.000740878,0,0,172,0.00942517,0.00951485,0.069632,0.000404837,0,0,
