t,ni,nl,nu,ns,a,r,l,d,p,m,k
1000,0,20,100,20,10,1e+06,1500,10,2e+08,persistent,10

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalPostponedFrames(Tpf),totalWaits(Tw),Tw/Tpf,Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tpf,Tnpd/Tvf,totalCollidedFrames(Tcf),totalDefaultBackoffs(Tdb),Tdb/Tcf,Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tcf,Tcd/Tvf
20,14464,14432,0.997788,2.1648e+07,21648,200893,0.0718392,14451,0.0719338,0.998685,14483,0.998688,0.996479,1.00221,447,447,1,0.0308638,0.0309321,0.316514,0.000708085,0,0,0,30,32,1.06667,0.00220949,0.00221438,0.008704,0.000272,0,0,0,
40,22640,22568,0.99682,3.3852e+07,33852,401018,0.0562768,22607,0.056374,0.998275,22679,0.99828,0.995106,1.00318,813,813,1,0.0358481,0.0359623,0.600758,0.00073894,0,0,0,58,72,1.24138,0.00317474,0.00318485,0.030208,0.000419556,0,0,0,
60,14793,14661,0.991077,2.19915e+07,21991.5,598912,0.0244794,14720,0.0245779,0.995992,14852,0.996027,0.98714,1.00897,516,516,1,0.0347428,0.0350543,0.376493,0.000729637,0,0,0,93,132,1.41935,0.00888769,0.00896739,0.066048,0.000500364,0,0,0,
80,21251,21130,0.994306,3.1695e+07,31695,798930,0.0264479,21208,0.0265455,0.996322,21329,0.996343,0.99067,1.00571,674,674,1,0.0316002,0.0317805,0.470807,0.000698527,0,0,0,102,121,1.18627,0.00567303,0.00570539,0.039936,0.00033005,0,0,0,
100,13580,13414,0.987776,2.0121e+07,20121,999375,0.0134224,13513,0.0135215,0.992674,13679,0.992763,0.980627,1.01228,592,592,1,0.043278,0.0438097,0.400045,0.000675752,0,0,0,136,166,1.22059,0.0121354,0.0122845,0.05888,0.000354699,0,0,0,
