t,ni,nl,nu,ns,a,r,l,d,p,m,k
2000,0,20,100,20,20,1e+06,1500,10,2e+08,persistent,10

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalPostponedFrames(Tpf),totalWaits(Tw),Tw/Tpf,Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tpf,Tnpd/Tvf,totalCollidedFrames(Tcf),totalDefaultBackoffs(Tdb),Tdb/Tcf,Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tcf,Tcd/Tvf
20,42528,42491,0.99913,6.37365e+07,31868.3,799949,0.0531171,42510,0.0531409,0.999553,42547,0.999553,0.998684,1.00087,261,261,1,0.00613439,0.00613973,0.195077,0.000747421,0,0,0,28,37,1.32143,0.000869627,0.000870383,0.0128,0.000345946,0,0,0,
40,41603,41525,0.998125,6.22875e+07,31143.8,1599483,0.0259615,41564,0.0259859,0.999062,41642,0.999063,0.99719,1.00188,319,319,1,0.00766054,0.00767491,0.219315,0.000687507,0,0,0,58,78,1.34483,0.00187311,0.00187662,0.047616,0.000610462,0,0,0,
60,42481,42386,0.997764,6.3579e+07,31789.5,2402687,0.0176411,42445,0.0176656,0.99861,42540,0.998613,0.99638,1.00224,402,402,1,0.00944993,0.00947108,0.283975,0.000706405,0,0,0,78,95,1.21795,0.00223319,0.00223819,0.036864,0.000388042,0,0,0,
80,43975,43851,0.99718,6.57765e+07,32888.3,3200702,0.0137004,43930,0.0137251,0.998202,44054,0.998207,0.995392,1.00282,652,652,1,0.0148,0.0148418,0.458072,0.000702565,0,0,0,108,124,1.14815,0.00281473,0.00282267,0.03584,0.000289032,0,0,0,
100,41230,41085,0.996483,6.16275e+07,30813.8,4000358,0.0102703,41184,0.0102951,0.997596,41329,0.997605,0.994096,1.00352,352,352,1,0.00851702,0.00854701,0.233327,0.00066286,0,0,0,126,145,1.15079,0.00350843,0.00352078,0.048128,0.000331917,0,0,0,
