t,ni,nl,nu,ns,a,r,l,d,p,m,k
2000,0,20,100,20,10,1e+06,1500,10,2e+08,persistent,10

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalPostponedFrames(Tpf),totalWaits(Tw),Tw/Tpf,Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tpf,Tnpd/Tvf,totalCollidedFrames(Tcf),totalDefaultBackoffs(Tdb),Tdb/Tcf,Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tcf,Tcd/Tvf
20,26471,26432,0.998527,3.9648e+07,19824,400551,0.0659891,26451,0.0660365,0.999282,26490,0.999283,0.99781,1.00147,455,455,1,0.0171763,0.0172016,0.343173,0.000754227,0,0,0,35,39,1.11429,0.00147225,0.00147442,0.0128,0.000328205,0,0,0,
40,43914,43841,0.998338,6.57615e+07,32880.8,799726,0.05482,43880,0.0548688,0.999111,43952,0.999135,0.997475,1.00164,1225,1225,1,0.0278713,0.027917,0.945445,0.000771792,0,0,0,60,72,1.2,0.00163815,0.00164084,0.026112,0.000362667,0,0,0,
60,24180,24076,0.995699,3.6114e+07,18057,1200095,0.0200617,24135,0.0201109,0.997555,24239,0.997566,0.993275,1.00431,460,460,1,0.0189777,0.0190595,0.322711,0.000701545,0,0,0,87,104,1.1954,0.00429061,0.00430909,0.03584,0.000344615,0,0,0,
80,23570,23432,0.994145,3.5148e+07,17574,1601326,0.0146329,23511,0.0146822,0.99664,23649,0.996659,0.990824,1.00587,512,512,1,0.02165,0.021777,0.370039,0.000722733,0,0,0,109,138,1.26606,0.00583534,0.00586959,0.050176,0.000363594,0,0,0,
100,30872,30685,0.993943,4.60275e+07,23013.8,2000653,0.0153375,30784,0.015387,0.996784,30971,0.996803,0.990766,1.00607,826,826,1,0.0266701,0.0268321,0.592377,0.000717163,0,0,0,143,187,1.30769,0.00603791,0.00607458,0.083456,0.000446289,0,0,0,
