t,ni,nl,nu,ns,a,r,l,d,p,m,k
4000,0,20,100,20,7,1e+06,1500,10,2e+08,persistent,10

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalPostponedFrames(Tpf),totalWaits(Tw),Tw/Tpf,Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tpf,Tnpd/Tvf,totalCollidedFrames(Tcf),totalDefaultBackoffs(Tdb),Tdb/Tcf,Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tcf,Tcd/Tvf
20,61399,61351,0.999218,9.20265e+07,23006.6,559980,0.109559,61369,0.109591,0.999707,61417,0.999707,0.998925,1.00078,1107,1107,1,0.0180243,0.0180384,0.82244,0.000742945,0,0,0,30,48,1.6,0.000781543,0.000782154,0.026112,0.000544,0,0,0,
40,63475,63402,0.99885,9.5103e+07,23775.8,1120829,0.0565671,63440,0.056601,0.999401,63513,0.999402,0.998252,1.00115,1265,1265,1,0.0199172,0.0199401,0.936326,0.000740179,0,0,0,59,73,1.23729,0.00114937,0.00115069,0.027648,0.00037874,0,0,0,
60,42116,42004,0.997341,6.3006e+07,15751.5,1677546,0.025039,42063,0.0250741,0.998597,42175,0.998601,0.995945,1.00266,959,959,1,0.0227386,0.0227991,0.716905,0.000747555,0,0,0,92,112,1.21739,0.0026556,0.00266267,0.038912,0.000347429,0,0,0,
80,58227,58085,0.997561,8.71275e+07,21781.9,2238532,0.0259478,58163,0.0259827,0.998659,58305,0.998662,0.996227,1.00244,1092,1092,1,0.0187291,0.0187748,0.800694,0.000733237,0,0,0,108,142,1.31481,0.00243547,0.00244141,0.05632,0.00039662,0,0,0,
100,40755,40582,0.995755,6.0873e+07,15218.3,2798884,0.0144994,40681,0.0145347,0.997566,40854,0.997577,0.993342,1.00425,848,848,1,0.0207568,0.0208451,0.578142,0.000681772,0,0,0,138,173,1.25362,0.00423459,0.0042526,0.070656,0.000408416,0,0,0,
