t,ni,nl,nu,ns,a,r,l,d,p,m,k
1000,0,20,100,20,20,1e+06,1500,10,2e+08,non-persistent,10

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalPostponedFrames(Tpf),totalWaits(Tw),Tw/Tpf,Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tpf,Tnpd/Tvf,totalCollidedFrames(Tcf),totalDefaultBackoffs(Tdb),Tdb/Tcf,Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tcf,Tcd/Tvf
20,40617,40587,0.999261,6.08805e+07,60880.5,399013,0.101718,40605,0.101764,0.999557,40635,0.999557,0.998819,1.00074,1328,1328,1,0.0326812,0.0327053,1.01164,0.000761773,0,0,0,26,30,1.15385,0.00073828,0.000738825,0.008192,0.000273067,0,0,0,
40,23524,23464,0.997449,3.5196e+07,35196,799977,0.0293308,23503,0.0293796,0.998341,23563,0.998345,0.995798,1.00255,387,387,1,0.0164241,0.016466,0.272557,0.000704282,0,0,0,52,60,1.15385,0.00254637,0.00255287,0.024064,0.000401067,0,0,0,
60,35384,35275,0.99692,5.29125e+07,52912.5,1199709,0.029403,35334,0.0294521,0.99833,35443,0.998335,0.99526,1.00308,1217,1217,1,0.0343368,0.0344427,0.944712,0.000776263,0,0,0,86,109,1.26744,0.00307536,0.00308485,0.041984,0.000385174,0,0,0,
80,40447,40318,0.996811,6.0477e+07,60477,1600153,0.0251963,40396,0.0252451,0.998069,40525,0.998075,0.994892,1.00319,1499,1499,1,0.0369895,0.0371076,1.16591,0.000777792,0,0,0,101,129,1.27723,0.00318322,0.00319339,0.04352,0.000337364,0,0,0,
100,22425,22283,0.993668,3.34245e+07,33424.5,1998739,0.0111485,22382,0.0111981,0.995577,22524,0.995605,0.9893,1.00634,473,473,1,0.0209998,0.0211331,0.301389,0.000637186,0,0,0,123,142,1.15447,0.00630439,0.00634438,0.042496,0.000299268,0,0,0,
