t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,20,1e+06,1500,10,2e+08,non-persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,23312,23278,0.998542,3.4917e+07,34917,399764,0.0582294,23297,0.0582769,0.999184,23331,0.999186,0.997728,1.00146,320,0.0137157,0.0137357,0.241818,0.00075568,0,0,34,0.00145729,0.00145942,0.012288,0.000361412,0,0,
40,20879,20808,0.996599,3.1212e+07,31212,798960,0.0260439,20847,0.0260927,0.998129,20918,0.998136,0.994741,1.00341,241,0.0115212,0.0115604,0.170119,0.000705887,0,0,71,0.00339421,0.00340577,0.030208,0.000425465,0,0,
60,21854,21766,0.995973,3.2649e+07,32649,1199011,0.0181533,21825,0.0182025,0.997297,21913,0.997308,0.993292,1.00403,399,0.0182084,0.0182818,0.279777,0.000701195,0,0,88,0.00401588,0.00403207,0.025088,0.000285091,0,0,
80,3412,3277,0.960434,4.9155e+06,4915.5,1599606,0.00204863,3357,0.00209864,0.976169,3492,0.97709,0.938431,1.04021,411,0.117698,0.122431,0.287962,0.000700637,0,0,135,0.0386598,0.0402145,0.0512,0.000379259,0,0,
100,41003,40863,0.996586,6.12945e+07,61294.5,2001301,0.0204182,40961,0.0204672,0.997607,41101,0.997616,0.994209,1.00342,1511,0.0367631,0.0368887,1.13676,0.000752325,0,0,140,0.00340624,0.00341789,0.045568,0.000325486,0,0,
