t,ni,nl,nu,ns,a,r,l,d,p,m,k
1000,0,20,100,20,20,1e+06,1500,10,2e+08,persistent,10

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalPostponedFrames(Tpf),totalWaits(Tw),Tw/Tpf,Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tpf,Tnpd/Tvf,totalCollidedFrames(Tcf),totalDefaultBackoffs(Tdb),Tdb/Tcf,Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tcf,Tcd/Tvf
20,40541,40497,0.998915,6.07455e+07,60745.5,400088,0.10122,40515,0.101265,0.999556,40559,0.999556,0.998471,1.00109,1318,1318,1,0.0324959,0.0325312,1.07381,0.000814727,0,0,0,33,44,1.33333,0.00108484,0.00108602,0.022016,0.000500364,0,0,0,
40,20837,20764,0.996497,3.1146e+07,31146,799523,0.0259705,20803,0.0260193,0.998125,20876,0.998132,0.994635,1.00351,234,234,1,0.011209,0.0112484,0.15209,0.000649955,0,0,0,56,73,1.30357,0.00349684,0.00350911,0.028672,0.000392767,0,0,0,
60,21740,21633,0.995078,3.24495e+07,32449.5,1199920,0.0180287,21692,0.0180779,0.99728,21799,0.997293,0.992385,1.00493,395,395,1,0.0181201,0.0182095,0.272881,0.000690838,0,0,0,88,107,1.21591,0.00490848,0.00493269,0.041472,0.000387589,0,0,0,
80,21346,21214,0.993816,3.1821e+07,31821,1599671,0.0132615,21293,0.0133109,0.99629,21425,0.996313,0.990152,1.0062,366,366,1,0.0170828,0.0171887,0.230804,0.000630611,0,0,0,105,132,1.25714,0.00616103,0.00619922,0.056832,0.000430545,0,0,0,
100,22554,22417,0.993926,3.36255e+07,33625.5,2001743,0.0111987,22516,0.0112482,0.995603,22653,0.99563,0.989582,1.00608,488,488,1,0.0215424,0.0216735,0.308804,0.000632795,0,0,0,116,137,1.18103,0.00604776,0.00608456,0.050688,0.000369985,0,0,0,
