t,ni,nl,nu,ns,a,r,l,d,p,m,k
1000,0,20,100,20,7,1e+06,1500,10,2e+08,non-persistent,10

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalPostponedFrames(Tpf),totalWaits(Tw),Tw/Tpf,Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tpf,Tnpd/Tvf,totalCollidedFrames(Tcf),totalDefaultBackoffs(Tdb),Tdb/Tcf,Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tcf,Tcd/Tvf
20,14501,14461,0.997242,2.16915e+07,21691.5,140422,0.102982,14480,0.103118,0.998688,14520,0.998691,0.995937,1.00276,428,428,1,0.0294766,0.029558,0.32106,0.000750141,0,0,0,32,40,1.25,0.00275482,0.00276243,0.021504,0.0005376,0,0,0,
40,17807,17718,0.995002,2.6577e+07,26577,280241,0.0632242,17757,0.0633633,0.997804,17846,0.997815,0.992828,1.00501,741,741,1,0.0415219,0.04173,0.529545,0.000714636,0,0,0,65,89,1.36923,0.00498711,0.00501211,0.047616,0.000535011,0,0,0,
60,18255,18148,0.994139,2.7222e+07,27222,420721,0.0431355,18207,0.0432757,0.996759,18314,0.996778,0.990936,1.00588,869,869,1,0.04745,0.0477289,0.654865,0.000753585,0,0,0,89,107,1.20225,0.00584252,0.00587686,0.027136,0.000253607,0,0,0,
80,17307,17164,0.991737,2.5746e+07,25746,560115,0.0306437,17243,0.0307847,0.995418,17386,0.995456,0.987231,1.00829,895,895,1,0.0514782,0.0519051,0.652727,0.000729304,0,0,0,117,143,1.22222,0.00822501,0.00829322,0.060416,0.00042249,0,0,0,
100,23927,23764,0.993188,3.5646e+07,35646,700104,0.0339435,23862,0.0340835,0.995893,24025,0.995921,0.989136,1.00683,1154,1154,1,0.0480333,0.0483614,0.852316,0.000738576,0,0,0,139,163,1.17266,0.0067846,0.00683094,0.053248,0.000326675,0,0,0,
