t,ni,nl,nu,ns,a,r,l,d,p,m,k
2000,0,20,100,20,7,1e+06,1500,10,2e+08,non-persistent,10

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalPostponedFrames(Tpf),totalWaits(Tw),Tw/Tpf,Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tpf,Tnpd/Tvf,totalCollidedFrames(Tcf),totalDefaultBackoffs(Tdb),Tdb/Tcf,Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tcf,Tcd/Tvf
20,35326,35276,0.998585,5.2914e+07,26457,279708,0.126117,35294,0.126182,0.99949,35344,0.999491,0.998076,1.00142,842,842,1,0.023823,0.0238567,0.646846,0.000768226,0,0,0,38,50,1.31579,0.00141467,0.00141667,0.022528,0.00045056,0,0,0,
40,33503,33440,0.99812,5.016e+07,25080,559976,0.0597168,33478,0.0597847,0.998865,33541,0.998867,0.996989,1.00188,820,820,1,0.0244477,0.0244937,0.60663,0.000739793,0,0,0,59,63,1.0678,0.0018783,0.00188183,0.014336,0.000227556,0,0,0,
60,24996,24897,0.996039,3.73455e+07,18672.8,838643,0.0296872,24956,0.0297576,0.997636,25055,0.997645,0.993694,1.00397,984,984,1,0.0392736,0.0394294,0.71969,0.000731392,0,0,0,87,99,1.13793,0.00395131,0.00396698,0.026112,0.000263758,0,0,0,
80,19868,19739,0.993507,2.96085e+07,14804.3,1119721,0.0176285,19818,0.0176991,0.996014,19947,0.99604,0.989572,1.00651,732,732,1,0.0366972,0.0369361,0.511303,0.000698501,0,0,0,108,129,1.19444,0.00646714,0.00650923,0.044032,0.000341333,0,0,0,
100,25681,25523,0.993848,3.82845e+07,19142.3,1400077,0.0182297,25622,0.0183004,0.996136,25780,0.99616,0.990031,1.00617,986,986,1,0.0382467,0.0384826,0.70799,0.000718043,0,0,0,139,158,1.13669,0.00612878,0.00616658,0.043008,0.000272203,0,0,0,
