t,ni,nl,nu,ns,a,r,l,d,p,m,k
2000,0,20,100,20,7,1e+06,1500,10,2e+08,persistent,10

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalPostponedFrames(Tpf),totalWaits(Tw),Tw/Tpf,Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tpf,Tnpd/Tvf,totalCollidedFrames(Tcf),totalDefaultBackoffs(Tdb),Tdb/Tcf,Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tcf,Tcd/Tvf
20,31548,31497,0.998383,4.72455e+07,23622.8,280102,0.112448,31516,0.112516,0.999397,31567,0.999398,0.997782,1.00162,635,635,1,0.0201159,0.0201485,0.466223,0.00073421,0,0,0,35,51,1.45714,0.00161561,0.00161823,0.02304,0.000451765,0,0,0,
40,20869,20779,0.995687,3.11685e+07,15584.3,559922,0.0371105,20818,0.0371802,0.998127,20908,0.998135,0.99383,1.00432,668,668,1,0.0319495,0.0320876,0.488215,0.000730861,0,0,0,64,90,1.40625,0.00430457,0.00432318,0.052224,0.000580267,0,0,0,
60,34819,34721,0.997185,5.20815e+07,26040.8,839142,0.0413768,34779,0.0414459,0.998332,34877,0.998337,0.995527,1.00282,1006,1006,1,0.0288442,0.0289255,0.728366,0.000724022,0,0,0,81,98,1.20988,0.00280987,0.00281779,0.031744,0.000323918,0,0,0,
80,36128,36007,0.996651,5.40105e+07,27005.3,1120360,0.0321388,36085,0.0322084,0.997838,36206,0.997846,0.994504,1.00335,1198,1198,1,0.0330884,0.0331994,0.884252,0.000738107,0,0,0,115,121,1.05217,0.00334199,0.00335319,0.028672,0.000236959,0,0,0,
100,32446,32269,0.994545,4.84035e+07,24201.8,1401123,0.0230308,32367,0.0231008,0.996972,32544,0.996989,0.99155,1.00547,938,938,1,0.0288225,0.0289801,0.659024,0.000702585,0,0,0,133,177,1.33083,0.00543879,0.00546853,0.086016,0.000485966,0,0,0,
