t,ni,nl,nu,ns,a,r,l,d,p,m
1000,0,20,100,20,20,1e+06,1500,10,2e+08,persistent

nodes,totalTransmissionAttempts(Tta),totalTransmittedFrames(Ttf),efficiency(Ttf/Tta),totalTransmittedBits(Ttb),throughput(Ttb/t),totalEnqueuedFrames(Tef),Ttf/Tef,totalVisitedFrames(Tvf),Tvf/Tef,Ttf/Tvf,totalChannelSenses(Tcs),Tta/Tcs,Ttf/Tcs,Tcs/Tvf,totalWaits(Tw),Tw/Tcs,Tw/Tvf,totalWaitTime(Twt),averageWaitTime(Twt/Tw),totalNonPersistentDrops(Tnpd),Tnpd/Tvf,totalDefaultBackoffs(Tdb),Tdb/Tcs,Tdb/Tvf,totalDefaultBackoffDelay(Tdbd),averageDefaultBackoffDelay(Tdbd/Tdb),totalCollisionDrops(Tcd),Tcd/Tvf
20,20837,20799,0.998176,3.11985e+07,31198.5,401199,0.0518421,20818,0.0518895,0.999087,20856,0.999089,0.997267,1.00183,173,0.00829498,0.00831012,0.116254,0.000671989,0,0,38,0.00182202,0.00182534,0.010752,0.000282947,0,0,
40,21731,21673,0.997331,3.25095e+07,32509.5,800248,0.0270829,21712,0.0271316,0.998204,21770,0.998209,0.995544,1.00267,314,0.0144235,0.014462,0.23636,0.000752738,0,0,58,0.00266422,0.00267133,0.014848,0.000256,0,0,
60,40832,40721,0.997282,6.10815e+07,61081.5,1197387,0.0340082,40780,0.0340575,0.998553,40890,0.998582,0.995867,1.0027,1446,0.0353632,0.0354586,1.11284,0.000769602,0,0,110,0.00269014,0.0026974,0.043008,0.000390982,0,0,
80,21540,21404,0.993686,3.2106e+07,32106,1601529,0.0133647,21483,0.0134141,0.996323,21619,0.996346,0.990055,1.00633,391,0.0180859,0.0182004,0.266844,0.000682464,0,0,136,0.00629076,0.00633059,0.054272,0.000399059,0,0,
100,41541,41379,0.9961,6.20685e+07,62068.5,1999339,0.0206963,41477,0.0207454,0.997637,41639,0.997646,0.993756,1.00391,1613,0.0387377,0.038889,1.20021,0.000744085,0,0,162,0.00389058,0.00390578,0.072192,0.00044563,0,0,
